step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
299,17302,598,0.400652072,0,0.5,,,,,
300,17352,600,0.214993449,0.5,0.75,,,,,
301,17402,602,0.224461481,0,0.5,,,,,
302,17436,604,0.652145555,0,0.5,,,,,
303,17486,606,0.321246928,0,0.5,,,,,
304,17568,608,0.301681169,0.5,0.75,,,,,
305,17634,610,0.180950366,1,1,,,,,
306,17700,612,0.204760475,1,1,,,,,
307,17750,614,0.354712503,0.5,0.75,,,,,
308,17800,616,0.23464287,0.5,0.75,,,,,
309,17866,618,0.32921605,1,1,,,,,
310,17916,620,0.227788703,0,0.5,,,,,
311,17966,622,0.235037042,1,1,,,,,
312,18000,624,0.228308389,1,1,,,,,
313,18066,626,0.207844218,0.5,0.75,,,,,
314,18212,628,0.214051779,0.5,0.75,,,,,
315,18246,630,0.140893563,1,1,,,,,
316,18280,632,0.275558765,0.5,0.75,,,,,
317,18346,634,0.299310659,0.5,0.75,,,,,
318,18412,636,0.333599097,0,0.5,,,,,
319,18494,638,0.267434206,1,1,,,,,
320,18592,640,0.226191397,0.5,0.75,,,,,
321,18690,642,0.208085984,1,1,,,,,
322,18756,644,0.235530081,0.5,0.75,,,,,
323,18806,646,0.573903335,0,0.5,,,,,
324,18856,648,0.373246466,0.5,0.75,,,,,
325,18906,650,0.259648253,0.5,0.75,,,,,
326,18972,652,0.266945643,0.5,0.75,,,,,
327,19038,654,0.398369297,0,0.5,,,,,
328,19072,656,0.299636073,0,0.5,,,,,
329,19138,658,0.282970653,0.5,0.75,,,,,
330,19172,660,0.191274803,1,1,,,,,
331,19222,662,0.372041037,0,0.5,,,,,
332,19256,664,0.240793383,0.5,0.75,,,,,
333,19322,666,0.18490233,1,1,,,,,
334,19372,668,0.181327299,0.5,0.75,,,,,
335,19438,670,0.225712443,0.5,0.75,,,,,
336,19488,672,0.328624675,0,0.5,,,,,
337,19522,674,0.376528859,0.5,0.75,,,,,
338,19588,676,0.308680924,0,0.5,,,,,
339,19638,678,0.233494938,0,0.5,,,,,
340,19752,680,0.201951963,0.5,0.75,,,,,
341,19802,682,0.208087628,0.5,0.75,,,,,
342,19868,684,0.20913072,0.5,0.75,,,,,
343,19950,686,0.363929446,0.5,0.75,,,,,
344,19984,688,0.339694289,0.5,0.75,,,,,
345,20018,690,0.409896705,0,0.5,,,,,
346,20116,692,0.194634204,1,1,,,,,
347,20182,694,0.34023621,0,0.5,,,,,
348,20216,696,0.181591316,0.5,0.75,,,,,
349,20330,698,0.211871397,1,1,,,,,
350,20364,700,0.158679763,1,1,,,,,
351,20398,702,0.204111755,0.5,0.75,,,,,
352,20512,704,0.163955155,0.5,0.75,,,,,
353,20546,706,0.1949885,0.5,0.75,,,,,
354,20596,708,0.377548059,0,0.5,,,,,
355,20630,710,0.199695174,0.5,0.75,,,,,
356,20696,712,0.169411357,1,1,,,,,
357,20746,714,0.156028121,1,1,,,,,
358,20780,716,0.136605052,1,1,,,,,
359,20830,718,0.280478655,0,0.5,,,,,
360,20880,720,0.19052543,0.5,0.75,,,,,
361,20946,722,0.313270918,0,0.5,,,,,
362,20980,724,0.255820554,1,1,,,,,
363,21062,726,0.289876552,0.5,0.75,,,,,
364,21128,728,0.253837273,0.5,0.75,,,,,
365,21194,730,0.306563701,0.5,0.75,,,,,
366,21244,732,0.259983397,0.5,0.75,,,,,
367,21406,734,0.184214266,0.5,0.75,,,,,
368,21488,736,0.249468012,0.5,0.75,,,,,
369,21538,738,0.200344462,0,0.5,,,,,
370,21588,740,0.182046598,0.5,0.75,,,,,
371,21622,742,0.282709403,1,1,,,,,
372,21672,744,0.357685007,0,0.5,,,,,
373,21706,746,0.25520195,0.5,0.75,,,,,
374,21772,748,0.251005118,0.5,0.75,,,,,
375,21870,750,0.295238863,0.5,0.75,,,,,
376,21920,752,0.133615843,1,1,,,,,
377,21986,754,0.155434111,1,1,,,,,
378,22052,756,0.322861831,0.5,0.75,,,,,
379,22086,758,0.341795203,0.5,0.75,,,,,
380,22136,760,0.243141392,0,0.5,,,,,
381,22234,762,0.20852552,1,1,,,,,
382,22300,764,0.222458874,1,1,0.247218234,1,1,,
383,22334,766,0.150215159,1,1,,,,,
384,22368,768,0.250445181,0.5,0.75,,,,,
385,22418,770,0.482888422,0.5,0.75,,,,,
386,22484,772,0.278250374,0,0.5,,,,,
387,22550,774,0.312615719,0.5,0.75,,,,,
388,22616,776,0.370659175,0.5,0.75,,,,,
389,22698,778,0.234361805,1,1,,,,,
390,22764,780,0.153103564,0.5,0.75,,,,,
391,22814,782,0.24062512,0.5,0.75,,,,,
392,22880,784,0.234230779,1,1,,,,,
393,22946,786,0.281737368,1,1,,,,,
394,23076,788,0.277030157,0.5,0.75,,,,,
395,23142,790,0.231042599,0.5,0.75,,,,,
396,23176,792,0.296879199,0.5,0.75,,,,,
397,23274,794,0.196894415,0,0.5,,,,,
398,23308,796,0.201119844,1,1,,,,,
399,23342,798,0.244825454,0.5,0.75,,,,,
400,23408,800,0.182239877,1,1,,,,,
401,23490,802,0.221366675,0.5,0.75,,,,,
402,23556,804,0.176815119,0,0.5,,,,,
403,23606,806,0.246221082,0.5,0.75,,,,,
404,23656,808,0.337899503,0.5,0.75,,,,,
405,23706,810,0.114168538,1,1,,,,,
406,23756,812,0.306836635,0.5,0.75,,,,,
407,23806,814,0.241302196,0.5,0.75,,,,,
408,23856,816,0.222242554,1,1,,,,,
409,23890,818,0.298715307,0.5,0.75,,,,,
410,23940,820,0.164983401,0.5,0.75,,,,,
411,23990,822,0.163198826,1,1,,,,,
412,24056,824,0.230003006,0.5,0.75,,,,,
413,24090,826,0.220701792,0.5,0.75,,,,,
414,24188,828,0.303499704,0,0.5,,,,,
415,24222,830,0.287330658,0.5,0.75,,,,,
416,24256,832,0.110676832,1,1,,,,,
417,24402,834,0.216985453,0.5,0.75,,,,,
418,24436,836,0.361140854,0,0.5,,,,,
419,24470,838,0.34556628,0.5,0.75,,,,,
420,24520,840,0.399842789,0.5,0.75,,,,,
421,24570,842,0.242633741,1,1,,,,,
422,24604,844,0.193322352,1,1,,,,,
423,24654,846,0.289337178,0.5,0.75,,,,,
424,24736,848,0.186228107,0.5,0.75,,,,,
425,24914,850,0.199263456,1,1,,,,,
426,24948,852,0.396388332,0.5,0.75,,,,,
427,25014,854,0.248870531,0.5,0.75,,,,,
428,25064,856,0.156983783,1,1,,,,,
429,25114,858,0.173413418,0,0.5,,,,,
430,25180,860,0.247023004,0.5,0.75,,,,,
431,25246,862,0.245081033,0.5,0.75,,,,,
432,25280,864,0.244834,1,1,,,,,
433,25330,866,0.244430589,1,1,,,,,
434,25364,868,0.181689906,1,1,,,,,
435,25398,870,0.2677016,0.5,0.75,,,,,
436,25496,872,0.31053189,0.5,0.75,,,,,
437,25578,874,0.162358608,0.5,0.75,,,,,
438,25628,876,0.220747697,1,1,,,,,
439,25726,878,0.164296932,1,1,,,,,
440,25760,880,0.388016197,0,0.5,,,,,
441,25794,882,0.394481624,0.5,0.75,,,,,
442,25860,884,0.205567665,1,1,,,,,
443,25926,886,0.329012621,0.5,0.75,,,,,
444,25960,888,0.388731099,0,0.5,,,,,
445,26010,890,0.231577252,0.5,0.75,,,,,
446,26060,892,0.271583775,1,1,,,,,
447,26094,894,0.23564638,0.5,0.75,,,,,
448,26176,896,0.245913334,0.5,0.75,,,,,
449,26242,898,0.281746467,1,1,,,,,
450,26420,900,0.278920021,0.5,0.75,,,,,
451,26454,902,0.423212586,0.5,0.75,,,,,
452,26504,904,0.173938201,0.5,0.75,,,,,
453,26538,906,0.380099398,0,0.5,,,,,
454,26604,908,0.241791817,0,0.5,,,,,
455,26670,910,0.195987995,0,0.5,,,,,
456,26736,912,0.289499604,0.5,0.75,,,,,
457,26770,914,0.229133813,0.5,0.75,,,,,
458,26852,916,0.275845024,0,0.5,,,,,
459,26902,918,0.186140444,0.5,0.75,,,,,
460,26968,920,0.252775573,0.5,0.75,,,,,
461,27002,922,0.179286263,0.5,0.75,,,,,
462,27052,924,0.192349858,0.5,0.75,,,,,
463,27102,926,0.26247106,1,1,,,,,
464,27152,928,0.16247719,1,1,,,,,
465,27234,930,0.228762875,1,1,,,,,
466,27300,932,0.230664958,0,0.5,,,,,
467,27334,934,0.282955591,0.5,0.75,,,,,
468,27400,936,0.300233353,0,0.5,,,,,
469,27450,938,0.338760934,0.5,0.75,,,,,
470,27516,940,0.217322517,1,1,,,,,
471,27582,942,0.271710049,0,0.5,,,,,
472,27616,944,0.278589151,0.5,0.75,,,,,
473,27666,946,0.267209056,1,1,,,,,
474,27732,948,0.272224653,0,0.5,,,,,
475,27798,950,0.221773285,1,1,,,,,
476,27864,952,0.210345323,0.5,0.75,,,,,
477,27914,954,0.134622494,1,1,,,,,
478,28028,956,0.290949581,0,0.5,0.128959458,0.5,0.75,,
479,28078,958,0.299416306,1,1,,,,,
480,28128,960,0.267557786,1,1,,,,,
481,28194,962,0.361901078,0.5,0.75,,,,,
482,28228,964,0.493985447,0,0.5,,,,,
483,28262,966,0.26192406,0,0.5,,,,,
484,28296,968,0.121869968,1,1,,,,,
485,28346,970,0.159328531,1,1,,,,,
486,28412,972,0.207863381,1,1,,,,,
487,28446,974,0.274922873,0.5,0.75,,,,,
488,28496,976,0.25440994,1,1,,,,,
489,28562,978,0.183788585,1,1,,,,,
490,28612,980,0.1763217,1,1,,,,,
491,28694,982,0.144547544,1,1,,,,,
492,28760,984,0.216041877,0,0.5,,,,,
493,28810,986,0.26813241,0.5,0.75,,,,,
494,28860,988,0.318179037,0,0.5,,,,,
495,28942,990,0.27535634,0.5,0.75,,,,,
496,28976,992,0.156454301,1,1,,,,,
497,29010,994,0.262422086,0.5,0.75,,,,,
498,29076,996,0.336756822,0.5,0.75,,,,,
499,29158,998,0.240112678,0.5,0.75,,,,,
500,29192,1000,0.184967103,1,1,,,,,
501,29290,1002,0.214694771,0.5,0.75,,,,,
502,29356,1004,0.220599318,0,0.5,,,,,
503,29438,1006,0.206135679,0.5,0.75,,,,,
504,29488,1008,0.23573546,0.5,0.75,,,,,
505,29538,1010,0.323289855,0.5,0.75,,,,,
506,29588,1012,0.378651739,0,0.5,,,,,
507,29622,1014,0.269301818,0.5,0.75,,,,,
508,29752,1016,0.204170527,0.5,0.75,,,,,
509,29802,1018,0.199159964,0.5,0.75,,,,,
510,29852,1020,0.193775854,1,1,,,,,
511,29886,1022,0.227738968,0.5,0.75,,,,,
512,29936,1024,0.302458954,0.5,0.75,,,,,
513,29970,1026,0.193974652,1,1,,,,,
514,30100,1028,0.226138034,1,1,,,,,
515,30150,1030,0.193360448,1,1,,,,,
516,30248,1032,0.258465177,0.5,0.75,,,,,
517,30330,1034,0.313444459,0.5,0.75,,,,,
518,30412,1036,0.170852681,0.5,0.75,,,,,
519,30462,1038,0.339561573,0.5,0.75,,,,,
520,30512,1040,0.271759218,0.5,0.75,,,,,
521,30546,1042,0.286953378,0.5,0.75,,,,,
522,30628,1044,0.269584006,0,0.5,,,,,
523,30758,1046,0.197109649,1,1,,,,,
524,30808,1048,0.137260786,1,1,,,,,
525,30858,1050,0.315324713,0.5,0.75,,,,,
526,30892,1052,0.214383928,1,1,,,,,
527,30942,1054,0.37046667,0.5,0.75,,,,,
528,31040,1056,0.252878868,0.5,0.75,,,,,
529,31122,1058,0.207155492,1,1,,,,,
530,31156,1060,0.139194602,1,1,,,,,
531,31190,1062,0.332585028,0.5,0.75,,,,,
532,31224,1064,0.225374198,0,0.5,,,,,
533,31290,1066,0.155797053,0.5,0.75,,,,,
534,31324,1068,0.263050215,0.5,0.75,,,,,
535,31374,1070,0.214172156,0.5,0.75,,,,,
536,31424,1072,0.313132789,0,0.5,,,,,
537,31490,1074,0.33401046,0,0.5,,,,,
538,31540,1076,0.185837827,0.5,0.75,,,,,
539,31574,1078,0.30274115,0.5,0.75,,,,,
540,31624,1080,0.253981115,1,1,,,,,
541,31674,1082,0.181847337,1,1,,,,,
542,31756,1084,0.22576513,0.5,0.75,,,,,
543,31790,1086,0.19197354,0.5,0.75,,,,,
544,31824,1088,0.344155179,0.5,0.75,,,,,
545,31890,1090,0.204576922,1,1,,,,,
546,31972,1092,0.289340451,0.5,0.75,,,,,
547,32086,1094,0.266918687,0.5,0.75,,,,,
548,32200,1096,0.317392983,0,0.5,,,,,
549,32330,1098,0.22993939,1,1,,,,,
550,32396,1100,0.174169607,1,1,,,,,
551,32430,1102,0.361971871,0,0.5,,,,,
552,32512,1104,0.21268541,1,1,,,,,
553,32610,1106,0.261944654,0,0.5,,,,,
554,32692,1108,0.237920744,1,1,,,,,
555,32726,1110,0.202205506,0.5,0.75,,,,,
556,32792,1112,0.296650078,0,0.5,,,,,
